<color=#C0C0C0>] /item_list</color>
<color=#000000>AACannon  (ITEM_AACANNON_NAME)</color>
<color=#000000>AdaptiveArmor  (ITEM_ADAPTIVEARMOR_NAME)</color>
<color=#E7543A>AlienHead  (Alien Head)</color>
<color=#FFFFFF>ArmorPlate  (Repulsion Armor Plate)</color>
<color=#E7543A>ArmorReductionOnHit  (Shattering Justice)</color>
<color=#FFEB04>ArtifactKey  (Artifact Key)</color>
<color=#FFFFFF>AttackSpeedAndMoveSpeed  (Mocha)</color>
<color=#77FF17>AttackSpeedOnCrit  (Predatory Instincts)</color>
<color=#FFFFFF>AttackSpeedPerNearbyAllyOrEnemy  (Bolstering Lantern)</color>
<color=#307FFF>AutoCastEquipment  (Gesture of the Drowned)</color>
<color=#77FF17>Bandolier  (Bandolier)</color>
<color=#E7543A>BarrageOnBoss  (War Bonds)</color>
<color=#FFFFFF>BarrierOnCooldown  (Eclipse Lite)</color>
<color=#FFFFFF>BarrierOnKill  (Topaz Brooch)</color>
<color=#E7543A>BarrierOnOverHeal  (Aegis)</color>
<color=#FFFFFF>Bear  (Tougher Times)</color>
<color=#ED7FCD>BearVoid  (Safer Spaces)</color>
<color=#FFEB04>BeetleGland  (Queen's Gland)</color>
<color=#E7543A>Behemoth  (Brilliant Behemoth)</color>
<color=#FFFFFF>BleedOnHit  (Tri-Tip Dagger)</color>
<color=#FFEB04>BleedOnHitAndExplode  (Shatterspleen)</color>
<color=#ED7FCD>BleedOnHitVoid  (Needletick)</color>
<color=#77FF17>BonusGoldPackOnKill  (Ghor's Tome)</color>
<color=#FF8000>BonusHealthBoost  (Quick Fix)</color>
<color=#E7543A>BoostAllStats  (Growth Nectar)</color>
<color=#000000>BoostAttackSpeed  (ITEM_BOOSTATTACKSPEED_NAME)</color>
<color=#000000>BoostDamage  (ITEM_BOOSTDAMAGE_NAME)</color>
<color=#000000>BoostEquipmentRecharge  (ITEM_BOOSTEQUIPMENTRECHARGE_NAME)</color>
<color=#000000>BoostHp  (ITEM_BOOSTHP_NAME)</color>
<color=#FFFFFF>BossDamageBonus  (Armor-Piercing Rounds)</color>
<color=#E7543A>BounceNearby  (Sentient Meat Hook)</color>
<color=#000000>BurnNearby  (ITEM_BURNNEARBY_NAME)</color>
<color=#E7543A>CaptainDefenseMatrix  (Defensive Microbots)</color>
<color=#77FF17>ChainLightning  (Ukulele)</color>
<color=#ED7FCD>ChainLightningVoid  (Polylute)</color>
<color=#E7543A>Clover  (57 Leaf Clover)</color>
<color=#ED7FCD>CloverVoid  (Benthic Bloom)</color>
<color=#000000>ConvertCritChanceToCritDamage  (ITEM_CONVERTCRITCHANCETOCRITDAMAGE_NAME)</color>
<color=#FF8000>CookedSteak  (Seared Steak)</color>
<color=#000000>CooldownOnCrit  (Wicked Ring)</color>
<color=#000000>CrippleWardOnLevel  (ITEM_CRIPPLEWARDONLEVEL_NAME)</color>
<color=#FFFFFF>CritAtLowerElevation  (Hiker's Boots)</color>
<color=#E7543A>CritDamage  (Laser Scope)</color>
<color=#FFFFFF>CritGlasses  (Lens-Maker's Glasses)</color>
<color=#ED7FCD>CritGlassesVoid  (Lost Seer's Lenses)</color>
<color=#000000>CritHeal  (ITEM_CRITHEAL_NAME)</color>
<color=#FFFFFF>Crowbar  (Crowbar)</color>
<color=#000000>CutHp  (ITEM_CUTHP_NAME)</color>
<color=#E7543A>Dagger  (Ceremonial Dagger)</color>
<color=#77FF17>DeathMark  (Death Mark)</color>
<color=#FFFFFF>DelayedDamage  (Warped Echo)</color>
<color=#000000>DestructibleSpawner  (ITEM_DESTRUCTIBLESPAWNER_NAME)</color>
<color=#000000>DrizzlePlayerHelper  (ITEM_DRIZZLEPLAYERHELPER_NAME)</color>
<color=#000000>DroneDynamiteDisplay  (ITEM_DRONEDYNAMITEDISPLAY_NAME)</color>
<color=#000000>DroneUpgradeHidden  ()</color>
<color=#E7543A>DroneWeapons  (Spare Drone Parts)</color>
<color=#000000>DroneWeaponsBoost  (ITEM_DRONEWEAPONSBOOST_NAME)</color>
<color=#000000>DroneWeaponsDisplay1  (ITEM_DRONEWEAPONSDISPLAY1_NAME)</color>
<color=#000000>DroneWeaponsDisplay2  (ITEM_DRONEWEAPONSDISPLAY2_NAME)</color>
<color=#77FF17>DronesDropDynamite  (Box of Dynamite)</color>
<color=#E7543A>Duplicator  (Substandard Duplicator)</color>
<color=#ED7FCD>ElementalRingVoid  (Singularity Band)</color>
<color=#000000>EmpowerAlways  (ITEM_EMPOWERALWAYS_NAME)</color>
<color=#77FF17>EnergizedOnEquipmentUse  (War Horn)</color>
